rep,n,d,p,a=0,a=2,a=4,a=6,a=8,a=10,a=12,a=14,a=16,a=18,a=20,a=22,a=24,a=26,a=28,a=30,a=32,a=34,a=36,a=38,a=40,a=42,a=44,a=46,a=48,a=50,a=52,a=54,a=56,a=58,a=60,a=62,a=64,a=66,a=68,a=70,a=72,a=74,a=76,a=78,a=80,a=82,a=84,a=86,a=88,a=90
50000,2,1,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50000,2,1,0.01,0.02046, 0.021157741078705827, 0.02182970470900884, 0.022475072206730916, 0.02309305729099111, 0.02368290704215192, 0.024243902819154887, 0.024775361135060684, 0.025276634489773214, 0.02574711215892923, 0.026186220937956126, 0.02659342584044985, 0.026968230749961058, 0.02731017902443857, 0.027618854052586895, 0.027893879761430727, 0.028134921074505645, 0.028341684320105823, 0.028513917589063752, 0.0286514110416717, 0.02875399716333481, 0.028821550968670735, 0.028853990153769247, 0.028853743339470446, 0.028820810826479547, 0.02875276459500049, 0.028649687548888882, 0.028511705271642932, 0.028338985873414976, 0.028131739786186417, 0.027890219507392882, 0.027614719292286163, 0.02730557479544347, 0.02696316266181539, 0.02658790006783834, 0.026180244213181526, 0.02574069176371003, 0.025269778246372002, 0.02476807739675392, 0.024236200460055733, 0.023674795446398472, 0.02308454634131331, 0.022466172272409907, 0.021820426633243684, 0.021148096165402662, 0.02045
50000,2,1,0.02,0.03928, 0.04060877617749671, 0.04188807681653066, 0.04311634328631889, 0.044292079133384225, 0.04541385190469338, 0.04648029489291865, 0.04749010880156623, 0.04844206332792206, 0.04933499866204716, 0.05016782689977413, 0.05093953336818371, 0.051649177861818336, 0.052295895788178004, 0.05287889922107667, 0.05339747786065165, 0.053850999898699604, 0.05423891278848624, 0.05456074391790098, 0.0548161011852928, 0.05500467347716004, 0.05512623104722023, 0.05518062579629266, 0.0551801321676951, 0.05512475076283793, 0.05500220834049136, 0.054812654199727195, 0.05455631928305929, 0.05423351589510455, 0.053844637322061156, 0.05339015735257597, 0.05287062970047521, 0.05228668733018778, 0.05163904168552698, 0.05092848182296069, 0.050155873450224896, 0.04932215787160875, 0.04842835084111963, 0.04747554132495271, 0.04646489017472034, 0.04539762871318646, 0.04427505723402864, 0.04309854341767687, 0.04186952066500035, 0.040589486350890394, 0.03926
50000,2,1,0.03,0.05929, 0.0612867778168788, 0.06320888713549747, 0.06505398616173158, 0.06681982692661692, 0.06850425802520009, 0.07010522723764503, 0.07162078402958219, 0.07304908192851975, 0.07438838077347587, 0.07563704883512422, 0.0767935648037461, 0.07785651964278727, 0.07882461830554595, 0.07969668131287296, 0.08047164619037167, 0.08114856876269133, 0.08172662430395138, 0.08220510854251595, 0.08258343851905421, 0.08286115329675875, 0.08303791452295158, 0.0831135068413148, 0.08310931099823529, 0.08302533210570144, 0.08284019963507525, 0.08255413914174638, 0.08216749914636196, 0.08168075071020704, 0.08109448686126439, 0.0804094218717283, 0.07962639038776055, 0.07874634641262923, 0.07777036214431098, 0.07669962666935044, 0.075535444513956, 0.07427923405474945, 0.0729325257906991, 0.07149696047836726, 0.06997428713295926, 0.06836636089739138, 0.06667514078209406, 0.06490268727827442, 0.06305115984748987, 0.061122814290724976, 0.05912
50000,2,1,0.04,0.07901, 0.08166134531271142, 0.08421319885512908, 0.0866624515868126, 0.08900611947054, 0.09124134710804269, 0.09336541121873129, 0.09537572395770372, 0.09726983606852682, 0.09904543986737287, 0.10070037205454932, 0.10223261635003938, 0.10364030595024035, 0.10492172580223928, 0.10607531469325412, 0.107099667152994, 0.10799353516574754, 0.10875582969103809, 0.10938562199036898, 0.10988214475890831, 0.11024479306009116, 0.11047312506281441, 0.11056686257975958, 0.11056316036527764, 0.11046202292994659, 0.1102263045350763, 0.10985629236716615, 0.10935243722905667, 0.10871535299067547, 0.10794581584095904, 0.10704476334242638, 0.10601329328874319, 0.10485266236731279, 0.10356428462805532, 0.10214972976086678, 0.10061072118293028, 0.09894913393908492, 0.09716699241750863, 0.09526646788310215, 0.09324987583224403, 0.09111967317174088, 0.08887845522537278, 0.08652895257199737, 0.08407402771865176, 0.08151667161316391, 0.07886
50000,2,1,0.05,0.09651, 0.09974013728484932, 0.10284875657620947, 0.10583207050035351, 0.10868644434873503, 0.1114084005065534, 0.11399462268947504, 0.11644195998422233, 0.11874743068719532, 0.1209082259375266, 0.12292171313907924, 0.1247854391677439, 0.12649713336052998, 0.12805471028174434, 0.1294562722637328, 0.1307001117192156, 0.1317847132213815, 0.13270875535038074, 0.13347111230314448, 0.13407085526528437, 0.13450725354229037, 0.13477977545006492, 0.1348880889627382, 0.13489031029142726, 0.13478643672978569, 0.1345183466572993, 0.13408636670032953, 0.13349102315993178, 0.13273304137059816, 0.1318133448162545, 0.13073305400555618, 0.12949348510643938, 0.1280961483427003, 0.1265427461538411, 0.12483517112124749, 0.1229755036620508, 0.12096600949449926, 0.11880913687780628, 0.11650751362898337, 0.11406394392136736, 0.11148140486833447, 0.10876304289583537, 0.10591216990924243, 0.10293225925809595, 0.09982694150457781, 0.0966
50000,2,1,0.060000000000000005,0.11554, 0.1193696349102819, 0.12305383630790863, 0.12658811556103372, 0.12996816669469982, 0.13318987163732618, 0.1362493052376479, 0.13914274004721558, 0.1418666508612561, 0.14441771901412406, 0.1467928364222737, 0.14898910937085302, 0.15100386203971963, 0.15283463976309666, 0.15447921202021261, 0.15593557515322728, 0.15720195480795934, 0.15827680809588476, 0.15915882547373467, 0.1598469323393808, 0.16034029034046762, 0.1606382983962383, 0.1607405934299194, 0.16073713802973624, 0.16062793640556178, 0.1603230343837871, 0.15982280344042132, 0.15912785302984306, 0.1582390298422127, 0.1571574167714901, 0.15588433159669732, 0.1544213253760024, 0.1527701805571652, 0.15093290880568042, 0.14891174855429198, 0.14670916227542935, 0.1443278334810552, 0.1417706634536391, 0.1390407677109209, 0.13614147221025968, 0.13307630929677783, 0.12984901339921048, 0.12646351648053952, 0.12292394324719642, 0.1192346061240375, 0.1154
50000,2,1,0.07,0.13443, 0.13887945952801897, 0.14315971582734285, 0.147265554065057, 0.15119197190959782, 0.15493418562572359, 0.1584876359023932, 0.16184799340797734, 0.1650111640642607, 0.16797329403518238, 0.1707307744216788, 0.17328024565850558, 0.1756186016078231, 0.17774299334308805, 0.1796508326201266, 0.18133979503072886, 0.1828078228343308, 0.18405312746524435, 0.18507419171146597, 0.1858697715636369, 0.18643889773022482, 0.18678087681855887, 0.18689529217994344, 0.18689430492274844, 0.18677791624979395, 0.18643396745688734, 0.1858628775925057, 0.18506534244178308, 0.18404233367848127, 0.18279509768105373, 0.1813251540145773, 0.17963429357892363, 0.1777245764271078, 0.17559832925524044, 0.17325814256805952, 0.17070686752258046, 0.16794761245430567, 0.16498373909065564, 0.16181885845475022, 0.15845682646599657, 0.15490173924270978, 0.15115792811088669, 0.14722995432777308, 0.14312260352428235, 0.1388408798748064, 0.13439
50000,2,1,0.08,0.15301, 0.15803549962353525, 0.16286845733427932, 0.16750298491779894, 0.17193343591597607, 0.1761544125068272, 0.18016077208048006, 0.18394763350513646, 0.18751038307321957, 0.1908446801232971, 0.1939464623280304, 0.19681195064353815, 0.19943765391378224, 0.2018203731237612, 0.20395720529715378, 0.2058455470330651, 0.20748309767795986, 0.2088678621287393, 0.2099981532630564, 0.21087259399536243, 0.21149011895440922, 0.2118499757809708, 0.21195172604508503, 0.21195345374517655, 0.2118551567763091, 0.2114987469327495, 0.21088465844484194, 0.21001363948500218, 0.20888675125557507, 0.20750536669619435, 0.20587116881132986, 0.2039861486192589, 0.20185260272672723, 0.19947313053080198, 0.19685063105181871, 0.193988299401453, 0.19088962288983177, 0.18755837677702758, 0.18399861967328354, 0.18021468859417447, 0.17621119367710109, 0.1719930125637209, 0.16756528445804608, 0.16293340386463545, 0.15810301401665736, 0.15308
50000,2,1,0.09,0.17033, 0.17593126029210646, 0.18131817544370105, 0.18648418232848035, 0.19142298696271046, 0.19612857217380494, 0.20059520493091787, 0.20481744333031884, 0.20879014322461845, 0.21250846449104688, 0.21596787692789451, 0.21916416577401543, 0.22209343684381955, 0.22475212127169583, 0.22713697986029296, 0.229245107026631, 0.23107393434250453, 0.2326212336637105, 0.2338851198441636, 0.23486405303328464, 0.23555684055197204, 0.23596263834508893, 0.23608095201068416, 0.23608070519638544, 0.23596189820289762, 0.23555560798363767, 0.23486232954050196, 0.23388290752674282, 0.23261853521701978, 0.2310707530541854, 0.22924144677259337, 0.2271328450999923, 0.22474751704270046, 0.22208836875567384, 0.21915864000140392, 0.2159619002031196, 0.21250204409582749, 0.20878328698121745, 0.20481015959201218, 0.20058750257181848, 0.19612046057805163, 0.19141447601303282, 0.18647528239415914, 0.18130889736793596, 0.17592161537880335, 0.17032
50000,2,1,0.09999999999999999,0.19056, 0.19676770479923633, 0.20273567845996537, 0.20845664992552188, 0.21392364907337613, 0.21913001520727893, 0.2240694051719507, 0.22873580108187197, 0.2331235176521098, 0.23722720912598477, 0.24104187578753572, 0.24456287005315963, 0.24778590213365687, 0.2507070452608733, 0.253322740472044, 0.25562980094521076, 0.2576254158826018, 0.25930715393504505, 0.26067296616353514, 0.2617211885362551, 0.26245054395601874, 0.26286014381526096, 0.26294948907979476, 0.26294529323671556, 0.26284756139801047, 0.26242959029433494, 0.2616918891589473, 0.2606353567673817, 0.25926128034130097, 0.25757133398117454, 0.2555675766265669, 0.2532524495469315, 0.250628773367957, 0.2476997446351805, 0.24446893191876404, 0.24094027146636787, 0.2371180624072584, 0.2330069615142887, 0.2286119775306567, 0.22393846506726536, 0.21899211807946983, 0.21377896292885315, 0.2083053510420647, 0.20257795117195776, 0.19660374127308244, 0.19039
50000,2,1,0.10999999999999999,0.20928, 0.2160633106155681, 0.22258338136922604, 0.22883226855898522, 0.23480235887836742, 0.24048637869202696, 0.24587740289723192, 0.25096886336175256, 0.2557545569249374, 0.2602286529564323, 0.2643857004593682, 0.26822063471189844, 0.27172878343725515, 0.2749058724965635, 0.27774803109644103, 0.2802517965040738, 0.28241411826705065, 0.2842323619296634, 0.28570431224181264, 0.2868281758587352, 0.28760258352614104, 0.2880265917471737, 0.2880996839332757, 0.2880952412758975, 0.28801326918773207, 0.28758039729612295, 0.2867971529886447, 0.28566449052823834, 0.2841837898892285, 0.28235685507730424, 0.28018591193139214, 0.27767360541102776, 0.2748229963746523, 0.2716375578506332, 0.2681211708048913, 0.26427811941342605, 0.26011308584248694, 0.2556311445437147, 0.2508377560722303, 0.24573876043344728, 0.24034036996846447, 0.23464916178416673, 0.22867206974120724, 0.22241637600545316, 0.21588970217611106, 0.2091
50000,2,1,0.11999999999999998,0.22378000000000003, 0.2310709901585407, 0.23808045590942292, 0.2447998572981911, 0.2512210077693306, 0.25733608414017656, 0.2631376361319658, 0.2686185954476345, 0.2737722843821482, 0.2785924239594722, 0.2830731415819698, 0.28720897818566804, 0.2909948948905898, 0.29442627914036273, 0.2974989503221405, 0.30020916485896193, 0.3025536207719682, 0.3045294617030872, 0.3061342803941915, 0.30736612162084226, 0.3082234845747324, 0.3087053246907215, 0.3088110549209929, 0.30882438289312786, 0.30874529236904535, 0.3082900432647858, 0.30745919023111373, 0.30625374553491647, 0.3046751778243926, 0.3027254103412062, 0.30040681857700513, 0.29772222737838017, 0.2946749075060986, 0.29126857165045583, 0.2875073699066895, 0.2833958847197988, 0.27893912530130943, 0.2741425215258135, 0.2690119173161997, 0.2635535635233206, 0.2577741103108624, 0.25168059905193246, 0.2452804537515255, 0.23858147200074212, 0.23159181547691154, 0.22432
