rep,n,d,p,sq,vol,area,dist,step
50000,3,1,0.01,4473,564,2206,25.0,564
50000,3,1,0.02,8940,1032,3958,80.24264068711929,1029
50000,3,1,0.03,13631,1705,6462,167.89949493661166,1698
50000,3,1,0.04,18084,2422,8930,344.35533905932755,2402
50000,3,1,0.05,22406,3040,11058,484.81118318204346,3001
50000,3,1,0.060000000000000005,27055,3829,13598,719.1076477383256,3748
50000,3,1,0.07,31886,4641,16324,940.8772003600263,4532
50000,3,1,0.08,36106,5542,19180,1223.0437226013978,5392
50000,3,1,0.09,40465,6349,21584,1519.0092347159923,6131
50000,3,1,0.09999999999999999,45360,7463,24912,1952.0163773909298,7174
50000,3,1,0.10999999999999999,49986,8561,28120,2355.6509370638228,8156
50000,3,1,0.11999999999999998,54099,9354,30518,2548.5453813665417,8826
50000,3,1,0.12999999999999998,58477,10734,34314,3062.814500712317,10012
50000,3,1,0.13999999999999999,63352,12133,38132,3644.887660565207,11224
50000,3,1,0.15,67361,13135,40962,4004.2328983567363,12111
50000,3,1,0.16,72297,14859,45692,4602.058366888677,13519
50000,3,1,0.17,76696,16377,49824,5195.6828252938585,14828
50000,3,1,0.18000000000000002,81299,17819,53290,5801.407788762425,15934
50000,3,1,0.19000000000000003,85000,19264,56954,6329.742925286261,17084
50000,3,1,0.20000000000000004,89929,20447,60064,6760.958220762945,18021
50000,3,1,0.21000000000000005,94936,22820,65944,7626.028422023108,19795
50000,3,1,0.22000000000000006,99098,24558,70118,8256.41738241614,21070
50000,3,1,0.23000000000000007,103887,26413,74608,8848.44595311596,22364
50000,3,1,0.24000000000000007,108076,28325,79352,9602.834913508981,23870
50000,3,1,0.25000000000000006,112354,30562,84798,10413.071637010542,25555
50000,3,1,0.26000000000000006,116516,32906,90344,11126.082963767658,27112
50000,3,1,0.2700000000000001,121781,35328,95806,12097.481158876739,28895
50000,3,1,0.2800000000000001,126121,37423,100266,12643.078272071487,30059
50000,3,1,0.2900000000000001,130326,39780,105954,13455.775890329656,31745
50000,3,1,0.3000000000000001,134793,41811,110104,14094.882671516292,32921
50000,3,1,0.3100000000000001,139324,44902,116880,15074.719466805385,34850
50000,3,1,0.3200000000000001,144054,47295,122098,15806.791760106651,36428
50000,3,1,0.3300000000000001,148844,49893,127858,16584.92797854483,37950
50000,3,1,0.34000000000000014,153236,53240,135324,17610.901858823807,40059
50000,3,1,0.35000000000000014,157639,55987,140978,18409.731511437963,41604
50000,3,1,0.36000000000000015,161979,59216,147798,19361.91145247756,43497
50000,3,1,0.37000000000000016,166762,62333,154276,20200.787786285928,45234
50000,3,1,0.38000000000000017,171100,65648,160706,21085.815490434077,46980
50000,3,1,0.3900000000000002,175288,68845,166964,21950.82176655736,48592
50000,3,1,0.4000000000000002,179848,72125,173638,22784.09716202648,50362
50000,3,1,0.4100000000000002,184228,74847,178814,23307.34607883686,51485
50000,3,1,0.4200000000000002,188891,79677,188932,24678.339295099635,54121
50000,3,1,0.4300000000000002,193314,83374,196184,25543.957836319278,55973
50000,3,1,0.4400000000000002,198033,87705,204698,26605.654588025758,58149
50000,3,1,0.45000000000000023,202890,91191,210882,27301.273129245383,59580
50000,3,1,0.46000000000000024,207028,94551,217046,28045.936259618156,61041
50000,3,1,0.47000000000000025,211666,100091,227550,29331.782289623312,63675
50000,3,1,0.48000000000000026,215768,104555,236210,30377.934885452523,65812
50000,3,1,0.49000000000000027,220697,107984,241802,31069.71785687245,67109
50000,3,1,0.5000000000000002,224738,112926,251270,32090.917133895862,69298
50000,3,1,0.5100000000000002,229500,117223,258388,32854.8300476305,70813
50000,3,1,0.5200000000000002,234270,122285,267656,33816.88718902788,72770
50000,3,1,0.5300000000000002,238527,126779,275240,34701.09151668304,74619
50000,3,1,0.5400000000000003,242679,131094,282288,35419.09274217069,76053
50000,3,1,0.5500000000000003,246916,134854,288934,36087.8635202802,77467
50000,3,1,0.5600000000000003,251536,140668,297676,37179.773475419555,79589
